full_path,line,fixed_line
Langerwehe,20,RB20
Stendal Hbf,20,RE20
Gotha|Fröttstädt,20,RB20
Eschweiler Weisweiler|Langerwehe,20,RB20
Düren|Langerwehe,20,RB20
Decin hl.n.|Bad Schandau,20,RE20
Höllriegelskreuth|Pullach|Großhesselohe Isartalbahnhof,20,S20
Bamberg|Haßfurt|Schweinfurt Hbf,20,RE20
Erfurt Hbf|Neudietendorf|Gotha|Fröttstädt,20,RB20
Aachen Hbf|Aachen Rothe Erde|Eilendorf|Stolberg Rheinl Hbf,20,RB20
Erfurt Hbf|Neudietendorf|Wandersleben|Gotha|Fröttstädt,20,RB20
Eschweiler West|Eschweiler Talbahnhof|Eschweiler Nothberg|Eschweiler Weisweiler|Langerwehe,20,RB20
Dresden Hbf|Dresden Strehlen|Dresden Reick|Dresden Dobritz|Dresden Niedersedlitz Hp,20,RE20
Buchenau Oberbay|Fürstenfeldbruck|Eichenau Oberbay|Puchheim|München Aubing|München Leienfelsstraße,20,S20
Erfurt Hbf|Neudietendorf|Wandersleben|Seebergen|Gotha|Fröttstädt,20,RB20
Aachen Rothe Erde|Aachen Hbf|Aachen Schanz|Aachen West|Kohlscheid|Herzogenrath,20,RB20
München Pasing|München Heimeranplatz|München Mittersendling|München Siemenswerke|München Solln|Großhesselohe Isartalbahnhof,20,S20
Erfurt Hbf|Erfurt Bischleben|Neudietendorf|Wandersleben|Seebergen|Gotha|Fröttstädt,20,RB20
Potsdam Hbf|Potsdam Charlottenhof|Potsdam Park Sanssouci|Golm|Hennigsdorf b Berlin|Hohen Neuendorf West|Birkenwerder b Berlin,20,RB20
Würzburg Hbf|Schweinfurt Hbf|Haßfurt|Bamberg|Hirschaid|Forchheim Oberfr|Erlangen|Fürth Bay Hbf,20,RE20
Dresden Hbf|Dresden Strehlen|Dresden Reick|Dresden Dobritz|Dresden Niedersedlitz|Heidenau|Pirna|Bad Schandau,20,RB20
Grafrath|Schöngeising|Buchenau Oberbay|Fürstenfeldbruck|Eichenau Oberbay|Puchheim|München Aubing|München Leienfelsstraße,20,S20
Stolberg Rheinl Hbf|Eilendorf|Aachen Rothe Erde|Aachen Hbf|Aachen Schanz|Aachen West|Kohlscheid|Herzogenrath,20,RB20
